Don Rickles	Toy Story 2
Don Rickles	Toy Story
Don Saxon	Subject Was Roses, The
Don Taylor	Stalag 17
Donald Crisp	National Velvet
Donald Crisp	How Green Was My Valley
Donald Crisp	Jezebel
Donald Crisp	Life of Emile Zola, The
Donald Houston	Room at the Top
Donald Sutherland	Klute
Donald Sutherland	Ordinary People
Donald Wolfit	Room at the Top
Donald Woods	Anthony Adverse
Donald Woods	Story of Louis Pasteur, The
Donna Murphy	Tangled
Donna Reed	From Here to Eternity
Doris Davenport	Westerner, The
Doris Dowling	Lost Weekend, The
Dorothy Burgess	In Old Arizona
Dorothy Jordan	Min and Bill
Dorothy Lamour	Greatest Show on Earth, The
Dorothy Malone	Written on the Wind
Dorothy McGuire	Tree Grows in Brooklyn, A
Dorothy McGuire	Gentlemans Agreement
Dorothy Tristan	Klute
Dorris Bowdon	Grapes of Wrath, The
Doug McKeon	On Golden Pond
Douglas Fairbanks Jr.	Morning Glory
Douglass Dumbrille	Mr. Deeds Goes to Town
Douglass Dumbrille	Kentucky
Dougray Scott	Mission: Impossible II
Drew Barrymore	E.T. the Extra-Terrestrial
Dudley Moore	Arthur
Dustin Hoffman	Kramer vs. Kramer
Dustin Hoffman	Kung Fu Panda
Dustin Hoffman	Rain Man
Dustin Hoffman	Midnight Cowboy
Dustin Hoffman	Tootsie
Dustin Hoffman	Meet the Fockers
Dustin Hoffman	Kung Fu Panda 2
Dustin Hoffman	All the Presidents Men
Dustin Hoffman	Graduate, The
Dwayne Hickman	Cat Ballou
Dylan Sprouse	Big Daddy
Ed Begley	Sweet Bird of Youth
Ed Harris	Rock, The
Ed Harris	Apollo 13
Ed Harris	Beautiful Mind, A
Ed Harris	Pollock
Ed Harris	Places in the Heart
Ed Helms	The Lorax
Ed Helms	The Hangover
Ed Helms	The Hangover Part II
Eddie Albert	Roman Holiday
Eddie Collins	Snow White and the Seven Dwarfs
Eddie Deezen	The Polar Express
Eddie Fisher	BUtterfield 8
Eddie Izzard	Cars 2
Eddie Marsan	Sherlock Holmes
Eddie Marsan	Hancock
Eddie Murphy	Shrek Forever After
Eddie Murphy	Beverly Hills Cop II
Eddie Murphy	Doctor Dolittle
Eddie Murphy	Beverly Hills Cop
Eddie Murphy	Dreamgirls
Eddie Murphy	Shrek the Third
Eddie Murphy	Shrek 2
Eddie Murphy	Shrek
Eddie Quillan	Mutiny on the Bounty
Edith Evans	Tom Jones
Edmond OBrien	Double Life, A
Edmond OBrien	Barefoot Contessa, The
Edmund Gwenn	Miracle on 34th Street
Edmund Gwenn	Anthony Adverse
Edmund Lowe	In Old Arizona
Eduardo Ciannelli	Kitty Foyle: The Natural History of a Woman
Edward Albert	Butterflies Are Free
Edward Arnold	Johnny Eager
Edward Arnold	You Cant Take It with You
Edward Arnold	Come and Get It
Edward Asner	Elf
Edward Asner	Up
Edward Brophy	Champ, The
Edward Burns	Saving Private Ryan
Edward Fox	Gandhi
Edward Furlong	Terminator 2: Judgment Day
Edward G. Robinson	Key Largo
Edward Herrmann	Reds
Edwin Jerome	Three Faces of Eve, The
Eileen Atkins	Cold Mountain
